,"ID
операции",Date,ID,Article,Operation,Quantity_Packages,Price_per_unit,District,Department,Product_Name,Supplier,Total_price
0,235,2021-06-01,М08,46,Поставка,200,49,Центральный,Бакалея,Крупа манная,Мелькомбинат,9800
1,295,2021-06-01,М10,34,Продажа,36,94,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,3384
2,307,2021-06-01,М10,56,Продажа,28,97,Центральный,Бакалея,Крупа пшено,Продбаза,2716
3,354,2021-06-01,М12,34,Продажа,330,92,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,30360
4,358,2021-06-01,М12,46,Продажа,238,47,Центральный,Бакалея,Крупа манная,Мелькомбинат,11186
5,498,2021-06-01,М17,43,Поставка,100,78,Центральный,Бакалея,Крупа перловая,Продбаза,7800
6,499,2021-06-01,М17,43,Продажа,91,73,Центральный,Бакалея,Крупа перловая,Продбаза,6643
7,544,2021-06-01,М19,34,Продажа,43,141,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,6063
8,547,2021-06-01,М19,43,Продажа,26,75,Центральный,Бакалея,Крупа перловая,Продбаза,1950
9,632,2021-06-01,М22,43,Продажа,30,79,Центральный,Бакалея,Крупа перловая,Продбаза,2370
10,634,2021-06-01,М22,46,Продажа,31,49,Центральный,Бакалея,Крупа манная,Мелькомбинат,1519
11,776,2021-06-01,М27,34,Поставка,100,98,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,9800
12,782,2021-06-01,М27,43,Поставка,50,85,Центральный,Бакалея,Крупа перловая,Продбаза,4250
13,844,2021-06-01,М29,56,Продажа,14,131,Центральный,Бакалея,Крупа пшено,Продбаза,1834
14,866,2021-06-01,М30,34,Поставка,20,110,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,2200
15,867,2021-06-01,М30,34,Продажа,21,143,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,3003
16,873,2021-06-01,М30,43,Поставка,10,93,Центральный,Бакалея,Крупа перловая,Продбаза,930
17,874,2021-06-01,М30,43,Продажа,14,108,Центральный,Бакалея,Крупа перловая,Продбаза,1512
18,1071,2021-06-01,М37,34,Поставка,100,86,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,8600
19,1077,2021-06-01,М37,46,Поставка,50,52,Центральный,Бакалея,Крупа манная,Мелькомбинат,2600
20,1082,2021-06-01,М37,56,Поставка,50,98,Центральный,Бакалея,Крупа пшено,Продбаза,4900
21,1083,2021-06-01,М37,56,Продажа,50,96,Центральный,Бакалея,Крупа пшено,Продбаза,4800
22,1134,2021-06-01,М39,46,Поставка,50,50,Центральный,Бакалея,Крупа манная,Мелькомбинат,2500
23,1135,2021-06-01,М39,46,Продажа,56,49,Центральный,Бакалея,Крупа манная,Мелькомбинат,2744
